snapshot_date,snapshot_ts,scooter_id,scooter_state,city,country,latitude,longitude,last_ride_time,rides_today,total_rides,total_km,total_ride_minutes,avg_ride_duration_min,avg_ride_distance_km,is_writeoff_candidate
2026-01-24,2026-01-24 23:59:59,1,active,Tallinn,Estonia,59.473411,24.669311,2026-01-24 22:59:00,5,117,359.206,1554,13.282,3.07,False
2026-01-25,2026-01-25 23:59:59,1,active,Tallinn,Estonia,59.473761,24.674455,2026-01-25 20:16:00,4,121,370.336,1602,13.24,3.061,False
2026-01-26,2026-01-26 23:59:59,1,active,Tallinn,Estonia,59.476368,24.673511,2026-01-26 21:59:00,7,128,391.866,1698,13.266,3.061,False
2026-01-27,2026-01-27 23:59:59,1,active,Tallinn,Estonia,59.478673,24.676636,2026-01-27 22:50:00,6,134,408.503,1773,13.231,3.049,False
2026-01-28,2026-01-28 23:59:59,1,active,Tallinn,Estonia,59.477952,24.670751,2026-01-28 19:12:00,2,136,410.662,1783,13.11,3.02,False
2026-01-29,2026-01-29 23:59:59,1,active,Tallinn,Estonia,59.472067,24.677071,2026-01-29 22:56:00,7,143,432.382,1882,13.161,3.024,False
2026-01-30,2026-01-30 23:59:59,1,active,Tallinn,Estonia,59.479729,24.677401,2026-01-30 13:06:00,4,147,445.769,1944,13.224,3.032,False
2026-01-31,2026-01-31 23:59:59,1,active,Tallinn,Estonia,59.479133,24.675666,2026-01-31 17:26:00,4,151,461.377,2007,13.291,3.055,False
2026-02-01,2026-02-01 23:59:59,1,active,Tallinn,Estonia,59.475206,24.676621,,0,151,461.377,2007,13.291,3.055,False
2026-01-01,2026-01-01 23:59:59,2,active,Tallinn,Estonia,59.416473,24.785063,2026-01-01 20:03:00,6,6,19.835,87,14.5,3.306,False
2026-01-02,2026-01-02 23:59:59,2,active,Tallinn,Estonia,59.413186,24.785113,2026-01-02 17:12:00,3,9,29.277,127,14.111,3.253,False
2026-01-03,2026-01-03 23:59:59,2,active,Tallinn,Estonia,59.410227,24.783875,2026-01-03 20:32:00,3,12,36.685,158,13.167,3.057,False
2026-01-04,2026-01-04 23:59:59,2,active,Tallinn,Estonia,59.415415,24.7846,2026-01-04 16:12:00,3,15,45.032,194,12.933,3.002,False
2026-01-05,2026-01-05 23:59:59,2,active,Tallinn,Estonia,59.419658,24.78905,2026-01-05 22:19:00,4,19,59.247,258,13.579,3.118,False
2026-01-06,2026-01-06 23:59:59,2,active,Tallinn,Estonia,59.417844,24.788465,2026-01-06 22:52:00,4,23,65.107,283,12.304,2.831,False
2026-01-07,2026-01-07 23:59:59,2,active,Tallinn,Estonia,59.413719,24.791007,2026-01-07 22:36:00,4,27,73.623,319,11.815,2.727,False
2026-01-08,2026-01-08 23:59:59,2,active,Tallinn,Estonia,59.416752,24.787678,2026-01-08 23:00:00,2,29,79.247,344,11.862,2.733,False
2026-01-09,2026-01-09 23:59:59,2,active,Tallinn,Estonia,59.420945,24.787268,2026-01-09 21:53:00,4,33,95.276,412,12.485,2.887,False
2026-01-10,2026-01-10 23:59:59,2,active,Tallinn,Estonia,59.417369,24.789134,2026-01-10 15:48:00,3,36,101.777,440,12.222,2.827,False
2026-01-11,2026-01-11 23:59:59,2,active,Tallinn,Estonia,59.420107,24.78911,2026-01-11 20:27:00,2,38,106.732,461,12.132,2.809,False
2026-01-12,2026-01-12 23:59:59,2,active,Tallinn,Estonia,59.418068,24.79153,2026-01-12 22:11:00,5,43,124.373,540,12.558,2.892,False
2026-01-13,2026-01-13 23:59:59,2,active,Tallinn,Estonia,59.417795,24.785401,2026-01-13 20:38:00,3,46,129.825,563,12.239,2.822,False
2026-01-14,2026-01-14 23:59:59,2,active,Tallinn,Estonia,59.408692,24.792376,2026-01-14 22:33:00,7,53,150.778,656,12.377,2.845,False
2026-01-15,2026-01-15 23:59:59,2,active,Tallinn,Estonia,59.415754,24.791051,2026-01-15 18:23:00,2,55,159.178,693,12.6,2.894,False
2026-01-16,2026-01-16 23:59:59,2,active,Tallinn,Estonia,59.4171,24.790172,2026-01-16 11:17:00,3,58,167.572,728,12.552,2.889,False
2026-01-17,2026-01-17 23:59:59,2,active,Tallinn,Estonia,59.4199,24.790226,2026-01-17 22:13:00,7,65,187.125,816,12.554,2.879,False
2026-01-18,2026-01-18 23:59:59,2,active,Tallinn,Estonia,59.419305,24.787523,2026-01-18 15:48:00,4,69,198.853,867,12.565,2.882,False
2026-01-19,2026-01-19 23:59:59,2,active,Tallinn,Estonia,59.418322,24.788112,2026-01-19 22:15:00,6,75,218.141,949,12.653,2.909,False
2026-01-20,2026-01-20 23:59:59,2,active,Tallinn,Estonia,59.415742,24.788516,2026-01-20 19:21:00,2,77,224.945,978,12.701,2.921,False
2026-01-21,2026-01-21 23:59:59,2,active,Tallinn,Estonia,59.41375,24.797446,2026-01-21 22:38:00,4,81,239.316,1044,12.889,2.955,False
2026-01-22,2026-01-22 23:59:59,2,active,Tallinn,Estonia,59.410543,24.792802,2026-01-22 20:06:00,6,87,259.895,1129,12.977,2.987,False
2026-01-23,2026-01-23 23:59:59,2,active,Tallinn,Estonia,59.41969,24.788356,2026-01-23 21:42:00,2,89,268.069,1164,13.079,3.012,False
2026-01-24,2026-01-24 23:59:59,2,active,Tallinn,Estonia,59.416014,24.786608,2026-01-24 17:33:00,7,96,291.13,1263,13.156,3.033,False
2026-01-25,2026-01-25 23:59:59,2,active,Tallinn,Estonia,59.41878,24.792506,2026-01-25 22:12:00,6,102,308.699,1336,13.098,3.026,False
2026-01-26,2026-01-26 23:59:59,2,active,Tallinn,Estonia,59.412285,24.786012,2026-01-26 17:19:00,3,105,320.173,1385,13.19,3.049,False
2026-01-27,2026-01-27 23:59:59,2,active,Tallinn,Estonia,59.414986,24.784183,2026-01-27 19:03:00,5,110,340.376,1474,13.4,3.094,False
2026-01-28,2026-01-28 23:59:59,2,active,Tallinn,Estonia,59.416498,24.790109,2026-01-28 21:40:00,3,113,349.897,1519,13.442,3.096,False
2026-01-29,2026-01-29 23:59:59,2,active,Tallinn,Estonia,59.413605,24.801185,2026-01-29 21:18:00,2,115,352.984,1534,13.339,3.069,False
2026-01-30,2026-01-30 23:59:59,2,active,Tallinn,Estonia,59.41499,24.78992,2026-01-30 22:22:00,5,120,372.093,1618,13.483,3.101,False
2026-01-31,2026-01-31 23:59:59,2,active,Tallinn,Estonia,59.409897,24.795228,2026-01-31 18:38:00,7,127,402.641,1743,13.724,3.17,False
2026-02-01,2026-02-01 23:59:59,2,active,Tallinn,Estonia,59.416859,24.790952,,0,127,402.641,1743,13.724,3.17,False
2026-01-01,2026-01-01 23:59:59,3,active,Tallinn,Estonia,59.429667,24.773838,2026-01-01 21:43:00,6,6,22.746,100,16.667,3.791,False
2026-01-02,2026-01-02 23:59:59,3,active,Tallinn,Estonia,59.423597,24.777993,2026-01-02 22:29:00,7,13,36.923,163,12.538,2.84,False
2026-01-03,2026-01-03 23:59:59,3,active,Tallinn,Estonia,59.425998,24.781806,2026-01-03 20:42:00,5,18,49.037,216,12.0,2.724,False
2026-01-04,2026-01-04 23:59:59,3,active,Tallinn,Estonia,59.42331,24.772598,2026-01-04 20:57:00,6,24,75.379,329,13.708,3.141,False
2026-01-05,2026-01-05 23:59:59,3,active,Tallinn,Estonia,59.422862,24.771339,2026-01-05 08:01:00,4,28,81.261,352,12.571,2.902,False
2026-01-06,2026-01-06 23:59:59,3,active,Tallinn,Estonia,59.427623,24.790781,2026-01-06 14:07:00,3,31,89.96,387,12.484,2.902,False
2026-01-07,2026-01-07 23:59:59,3,active,Tallinn,Estonia,59.421248,24.780965,2026-01-07 21:15:00,4,35,105.001,454,12.971,3.0,False
2026-01-08,2026-01-08 23:59:59,3,active,Tallinn,Estonia,59.424969,24.779577,2026-01-08 20:33:00,5,40,123.194,533,13.325,3.08,False
2026-01-09,2026-01-09 23:59:59,3,active,Tallinn,Estonia,59.420839,24.775685,2026-01-09 19:00:00,5,45,132.152,574,12.756,2.937,False
2026-01-10,2026-01-10 23:59:59,3,active,Tallinn,Estonia,59.424015,24.773215,2026-01-10 21:15:00,7,52,154.927,675,12.981,2.979,False
2026-01-11,2026-01-11 23:59:59,3,active,Tallinn,Estonia,59.422298,24.777587,2026-01-11 22:09:00,7,59,174.647,765,12.966,2.96,False
2026-01-12,2026-01-12 23:59:59,3,active,Tallinn,Estonia,59.427475,24.783391,2026-01-12 22:43:00,3,62,181.59,793,12.79,2.929,False
2026-01-13,2026-01-13 23:59:59,3,active,Tallinn,Estonia,59.425018,24.780638,2026-01-13 17:43:00,3,65,189.965,827,12.723,2.923,False
2026-01-14,2026-01-14 23:59:59,3,active,Tallinn,Estonia,59.431265,24.784342,2026-01-14 22:49:00,7,72,211.71,917,12.736,2.94,False
2026-01-15,2026-01-15 23:59:59,3,active,Tallinn,Estonia,59.422108,24.786737,2026-01-15 22:09:00,3,75,217.867,943,12.573,2.905,False
2026-01-16,2026-01-16 23:59:59,3,active,Tallinn,Estonia,59.420555,24.78122,2026-01-16 20:52:00,3,78,231.935,1001,12.833,2.974,False
2026-01-17,2026-01-17 23:59:59,3,active,Tallinn,Estonia,59.426287,24.776204,2026-01-17 21:07:00,2,80,234.353,1011,12.638,2.929,False
2026-01-18,2026-01-18 23:59:59,3,active,Tallinn,Estonia,59.423852,24.779156,2026-01-18 21:56:00,5,85,255.106,1103,12.976,3.001,False
2026-01-19,2026-01-19 23:59:59,3,active,Tallinn,Estonia,59.419712,24.78646,2026-01-19 21:36:00,3,88,264.307,1143,12.989,3.003,False
2026-01-20,2026-01-20 23:59:59,3,active,Tallinn,Estonia,59.427297,24.779267,2026-01-20 22:34:00,4,92,276.102,1200,13.043,3.001,False
2026-01-21,2026-01-21 23:59:59,3,active,Tallinn,Estonia,59.426279,24.784702,2026-01-21 21:30:00,5,97,293.771,1280,13.196,3.029,False
2026-01-22,2026-01-22 23:59:59,3,active,Tallinn,Estonia,59.426301,24.783896,2026-01-22 10:32:00,2,99,300.688,1310,13.232,3.037,False
2026-01-23,2026-01-23 23:59:59,3,active,Tallinn,Estonia,59.426244,24.786327,2026-01-23 20:56:00,6,105,323.336,1404,13.371,3.079,False
2026-01-24,2026-01-24 23:59:59,3,active,Tallinn,Estonia,59.425575,24.77701,2026-01-24 17:17:00,3,108,333.362,1446,13.389,3.087,False
2026-01-25,2026-01-25 23:59:59,3,active,Tallinn,Estonia,59.422442,24.774379,2026-01-25 20:46:00,6,114,357.218,1548,13.579,3.133,False
2026-01-26,2026-01-26 23:59:59,3,active,Tallinn,Estonia,59.423919,24.777655,2026-01-26 16:27:00,2,116,362.146,1571,13.543,3.122,False
2026-01-27,2026-01-27 23:59:59,3,active,Tallinn,Estonia,59.426608,24.779514,2026-01-27 21:27:00,6,122,380.991,1650,13.525,3.123,False
2026-01-28,2026-01-28 23:59:59,3,active,Tallinn,Estonia,59.421491,24.772279,2026-01-28 21:42:00,7,129,406.858,1760,13.643,3.154,False
2026-01-29,2026-01-29 23:59:59,3,active,Tallinn,Estonia,59.430387,24.774911,2026-01-29 14:48:00,2,131,416.347,1804,13.771,3.178,False
2026-01-30,2026-01-30 23:59:59,3,active,Tallinn,Estonia,59.426206,24.78749,2026-01-30 20:58:00,7,138,440.894,1908,13.826,3.195,False
2026-01-31,2026-01-31 23:59:59,3,active,Tallinn,Estonia,59.424878,24.781848,2026-01-31 22:04:00,7,145,464.428,2007,13.841,3.203,False
2026-02-01,2026-02-01 23:59:59,3,active,Tallinn,Estonia,59.424014,24.777942,,0,145,464.428,2007,13.841,3.203,False
2026-01-01,2026-01-01 23:59:59,4,active,Tallinn,Estonia,59.453447,24.780337,2026-01-01 21:18:00,6,6,20.261,85,14.167,3.377,False
2026-01-02,2026-01-02 23:59:59,4,active,Tallinn,Estonia,59.453898,24.785784,2026-01-02 18:22:00,2,8,24.404,105,13.125,3.05,False
2026-01-03,2026-01-03 23:59:59,4,active,Tallinn,Estonia,59.454606,24.786834,2026-01-03 20:40:00,6,14,48.585,209,14.929,3.47,False
2026-01-04,2026-01-04 23:59:59,4,active,Tallinn,Estonia,59.452272,24.782423,2026-01-04 20:17:00,6,20,68.19,296,14.8,3.41,False
2026-01-05,2026-01-05 23:59:59,4,active,Tallinn,Estonia,59.456065,24.779677,2026-01-05 21:27:00,3,23,79.594,344,14.957,3.461,False
2026-01-06,2026-01-06 23:59:59,4,active,Tallinn,Estonia,59.447903,24.783427,2026-01-06 19:28:00,2,25,86.412,374,14.96,3.456,False
2026-01-07,2026-01-07 23:59:59,4,active,Tallinn,Estonia,59.454169,24.781973,2026-01-07 22:25:00,3,28,100.48,433,15.464,3.589,False
2026-01-08,2026-01-08 23:59:59,4,active,Tallinn,Estonia,59.455504,24.780579,2026-01-08 19:58:00,3,31,108.575,467,15.065,3.502,False
2026-01-09,2026-01-09 23:59:59,4,active,Tallinn,Estonia,59.452986,24.78208,2026-01-09 13:47:00,4,35,121.772,527,15.057,3.479,False
2026-01-10,2026-01-10 23:59:59,4,active,Tallinn,Estonia,59.457333,24.785126,2026-01-10 19:04:00,7,42,137.51,597,14.214,3.274,False
2026-01-11,2026-01-11 23:59:59,4,active,Tallinn,Estonia,59.454042,24.778762,2026-01-11 21:04:00,7,49,162.106,705,14.388,3.308,False
2026-01-12,2026-01-12 23:59:59,4,active,Tallinn,Estonia,59.451598,24.789886,2026-01-12 20:43:00,7,56,185.789,807,14.411,3.318,False
2026-01-13,2026-01-13 23:59:59,4,active,Tallinn,Estonia,59.45164,24.774682,2026-01-13 17:06:00,3,59,194.012,839,14.22,3.288,False
2026-01-14,2026-01-14 23:59:59,4,active,Tallinn,Estonia,59.449864,24.784826,2026-01-14 15:55:00,4,63,210.991,918,14.571,3.349,False
2026-01-15,2026-01-15 23:59:59,4,active,Tallinn,Estonia,59.455485,24.787937,2026-01-15 22:00:00,2,65,214.022,931,14.323,3.293,False
2026-01-16,2026-01-16 23:59:59,4,active,Tallinn,Estonia,59.451661,24.77829,2026-01-16 21:45:00,5,70,225.044,982,14.029,3.215,False
2026-01-17,2026-01-17 23:59:59,4,active,Tallinn,Estonia,59.446324,24.773687,2026-01-17 21:34:00,5,75,242.974,1057,14.093,3.24,False
2026-01-18,2026-01-18 23:59:59,4,active,Tallinn,Estonia,59.454325,24.785563,2026-01-18 14:52:00,2,77,252.388,1096,14.234,3.278,False
2026-01-19,2026-01-19 23:59:59,4,active,Tallinn,Estonia,59.45466,24.775139,2026-01-19 22:26:00,3,80,262.843,1141,14.262,3.286,False
2026-01-20,2026-01-20 23:59:59,4,active,Tallinn,Estonia,59.454376,24.775391,2026-01-20 20:43:00,2,82,267.352,1161,14.159,3.26,False
2026-01-21,2026-01-21 23:59:59,4,active,Tallinn,Estonia,59.447778,24.785886,2026-01-21 20:57:00,6,88,283.196,1230,13.977,3.218,False
2026-01-22,2026-01-22 23:59:59,4,active,Tallinn,Estonia,59.455391,24.789276,2026-01-22 21:48:00,4,92,292.974,1272,13.826,3.184,False
2026-01-23,2026-01-23 23:59:59,4,active,Tallinn,Estonia,59.450003,24.781184,2026-01-23 22:18:00,4,96,302.635,1315,13.698,3.152,False
2026-01-24,2026-01-24 23:59:59,4,active,Tallinn,Estonia,59.449762,24.786128,2026-01-24 16:13:00,5,101,315.076,1368,13.545,3.12,False
2026-01-25,2026-01-25 23:59:59,4,active,Tallinn,Estonia,59.446956,24.784326,2026-01-25 21:38:00,6,107,340.137,1476,13.794,3.179,False
2026-01-26,2026-01-26 23:59:59,4,active,Tallinn,Estonia,59.452569,24.771751,2026-01-26 21:45:00,7,114,373.892,1627,14.272,3.28,False
2026-01-27,2026-01-27 23:59:59,4,active,Tallinn,Estonia,59.449422,24.781665,2026-01-27 20:57:00,5,119,387.08,1685,14.16,3.253,False
2026-01-28,2026-01-28 23:59:59,4,active,Tallinn,Estonia,59.459184,24.779582,2026-01-28 22:12:00,5,124,396.959,1728,13.935,3.201,False
2026-01-29,2026-01-29 23:59:59,4,active,Tallinn,Estonia,59.449019,24.782571,2026-01-29 20:49:00,7,131,413.56,1800,13.74,3.157,False
2026-01-30,2026-01-30 23:59:59,4,active,Tallinn,Estonia,59.454155,24.777718,2026-01-30 20:40:00,4,135,426.258,1853,13.726,3.157,False
2026-01-31,2026-01-31 23:59:59,4,active,Tallinn,Estonia,59.449926,24.781198,2026-01-31 22:14:00,2,137,429.47,1868,13.635,3.135,False
2026-02-01,2026-02-01 23:59:59,4,active,Tallinn,Estonia,59.452923,24.784362,,0,137,429.47,1868,13.635,3.135,False
2026-01-01,2026-01-01 23:59:59,5,active,Tallinn,Estonia,59.447297,24.751644,2026-01-01 19:19:00,3,3,6.157,25,8.333,2.052,True
2026-01-02,2026-01-02 23:59:59,5,active,Tallinn,Estonia,59.439055,24.747317,2026-01-02 10:04:00,2,5,10.759,45,9.0,2.152,True
2026-01-03,2026-01-03 23:59:59,5,active,Tallinn,Estonia,59.438825,24.748828,2026-01-03 19:47:00,2,7,18.984,81,11.571,2.712,True
2026-01-04,2026-01-04 23:59:59,5,active,Tallinn,Estonia,59.440441,24.743873,2026-01-04 12:03:00,2,9,24.735,105,11.667,2.748,True
2026-01-05,2026-01-05 23:59:59,5,active,Tallinn,Estonia,59.440247,24.748508,2026-01-05 19:51:00,5,14,42.639,183,13.071,3.046,True
2026-01-06,2026-01-06 23:59:59,5,active,Tallinn,Estonia,59.437905,24.750741,2026-01-06 22:35:00,7,21,61.293,267,12.714,2.919,True
2026-01-07,2026-01-07 23:59:59,5,active,Tallinn,Estonia,59.438339,24.741599,2026-01-07 21:57:00,5,26,76.403,335,12.885,2.939,True
2026-01-08,2026-01-08 23:59:59,5,active,Tallinn,Estonia,59.435175,24.748603,2026-01-08 22:57:00,7,33,97.331,437,13.242,2.949,True
2026-01-09,2026-01-09 23:59:59,5,active,Tallinn,Estonia,59.440147,24.754759,2026-01-09 14:59:00,2,35,104.685,465,13.286,2.991,True
2026-01-10,2026-01-10 23:59:59,5,active,Tallinn,Estonia,59.441226,24.747744,2026-01-10 21:28:00,4,39,115.46,511,13.103,2.961,True
2026-01-11,2026-01-11 23:59:59,5,active,Tallinn,Estonia,59.4388,24.75064,2026-01-11 21:57:00,6,45,135.212,601,13.356,3.005,True
2026-01-12,2026-01-12 23:59:59,5,active,Tallinn,Estonia,59.441889,24.744085,2026-01-12 16:12:00,5,50,155.801,688,13.76,3.116,True
2026-01-13,2026-01-13 23:59:59,5,active,Tallinn,Estonia,59.436334,24.745358,2026-01-13 19:29:00,3,53,165.003,730,13.774,3.113,True
2026-01-14,2026-01-14 23:59:59,5,active,Tallinn,Estonia,59.436068,24.745431,2026-01-14 15:12:00,3,56,178.143,790,14.107,3.181,True
2026-01-15,2026-01-15 23:59:59,5,active,Tallinn,Estonia,59.443299,24.744879,2026-01-15 17:28:00,3,59,191.526,846,14.339,3.246,True
2026-01-16,2026-01-16 23:59:59,5,active,Tallinn,Estonia,59.439468,24.742161,2026-01-16 20:26:00,6,65,221.954,970,14.923,3.415,True
2026-01-17,2026-01-17 23:59:59,5,active,Tallinn,Estonia,59.433603,24.750579,2026-01-17 22:09:00,6,71,240.403,1050,14.789,3.386,True
2026-01-18,2026-01-18 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-19,2026-01-19 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-20,2026-01-20 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-21,2026-01-21 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-22,2026-01-22 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-23,2026-01-23 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-24,2026-01-24 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-25,2026-01-25 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-26,2026-01-26 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-27,2026-01-27 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-28,2026-01-28 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-29,2026-01-29 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-30,2026-01-30 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-31,2026-01-31 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-02-01,2026-02-01 23:59:59,5,written_off,Tallinn,Estonia,,,,0,71,240.403,1050,14.789,3.386,True
2026-01-01,2026-01-01 23:59:59,6,active,Tallinn,Estonia,59.490051,24.750588,2026-01-01 19:04:00,2,2,4.128,17,8.5,2.064,False
2026-01-02,2026-01-02 23:59:59,6,active,Tallinn,Estonia,59.496942,24.750281,2026-01-02 15:07:00,4,6,18.969,80,13.333,3.162,False
2026-01-03,2026-01-03 23:59:59,6,active,Tallinn,Estonia,59.488817,24.753532,2026-01-03 22:29:00,2,8,25.588,110,13.75,3.198,False
2026-01-04,2026-01-04 23:59:59,6,active,Tallinn,Estonia,59.495136,24.750173,2026-01-04 20:15:00,3,11,30.045,131,11.909,2.731,False
2026-01-05,2026-01-05 23:59:59,6,active,Tallinn,Estonia,59.490914,24.744659,2026-01-05 21:17:00,5,16,51.403,227,14.188,3.213,False
2026-01-06,2026-01-06 23:59:59,6,active,Tallinn,Estonia,59.497356,24.754807,2026-01-06 18:49:00,4,20,67.67,296,14.8,3.384,False
2026-01-07,2026-01-07 23:59:59,6,active,Tallinn,Estonia,59.490366,24.749592,2026-01-07 17:50:00,3,23,73.596,324,14.087,3.2,False
2026-01-08,2026-01-08 23:59:59,6,active,Tallinn,Estonia,59.495081,24.751019,2026-01-08 16:52:00,6,29,96.988,427,14.724,3.344,False
2026-01-09,2026-01-09 23:59:59,6,active,Tallinn,Estonia,59.493303,24.755907,2026-01-09 22:01:00,3,32,105.038,462,14.438,3.282,False
2026-01-10,2026-01-10 23:59:59,6,active,Tallinn,Estonia,59.494606,24.741828,2026-01-10 20:37:00,3,35,114.442,503,14.371,3.27,False
2026-01-11,2026-01-11 23:59:59,6,active,Tallinn,Estonia,59.494685,24.751574,2026-01-11 16:43:00,5,40,132.314,582,14.55,3.308,False
2026-01-12,2026-01-12 23:59:59,6,active,Tallinn,Estonia,59.493248,24.744521,2026-01-12 10:47:00,2,42,138.099,608,14.476,3.288,False
2026-01-13,2026-01-13 23:59:59,6,active,Tallinn,Estonia,59.496226,24.748015,2026-01-13 19:30:00,6,48,153.764,681,14.188,3.203,False
2026-01-14,2026-01-14 23:59:59,6,active,Tallinn,Estonia,59.490312,24.744568,2026-01-14 20:15:00,2,50,157.169,696,13.92,3.143,False
2026-01-15,2026-01-15 23:59:59,6,active,Tallinn,Estonia,59.4944,24.744776,2026-01-15 22:13:00,7,57,180.341,798,14.0,3.164,False
2026-01-16,2026-01-16 23:59:59,6,active,Tallinn,Estonia,59.491874,24.751712,2026-01-16 21:50:00,5,62,191.609,848,13.677,3.09,False
2026-01-17,2026-01-17 23:59:59,6,active,Tallinn,Estonia,59.496276,24.749391,2026-01-17 17:01:00,4,66,208.602,922,13.97,3.161,False
2026-01-18,2026-01-18 23:59:59,6,active,Tallinn,Estonia,59.500203,24.743661,2026-01-18 18:57:00,7,73,229.261,1016,13.918,3.141,False
2026-01-19,2026-01-19 23:59:59,6,active,Tallinn,Estonia,59.500626,24.747819,2026-01-19 20:46:00,4,77,237.929,1056,13.714,3.09,False
